person_a,img_a,person_b,img_b,label,cosine_similarity
person_01,frontal_001.jpg,person_01,frontal_002.jpg,1,0.674331
person_01,frontal_001.jpg,person_01,frontal_003.jpg,1,0.71694
person_01,frontal_001.jpg,person_01,frontal_004.jpg,1,0.504244
person_01,frontal_001.jpg,person_01,frontal_005.jpg,1,0.544942
person_01,frontal_001.jpg,person_01,frontal_006.jpg,1,0.619988
person_01,frontal_001.jpg,person_01,frontal_007.jpg,1,0.64762
person_01,frontal_001.jpg,person_01,frontal_008.jpg,1,0.673797
person_01,frontal_001.jpg,person_01,frontal_009.jpg,1,0.388523
person_01,frontal_001.jpg,person_01,frontal_010.jpg,1,0.522096
person_01,frontal_002.jpg,person_01,frontal_003.jpg,1,0.557338
person_01,frontal_002.jpg,person_01,frontal_004.jpg,1,0.476336
person_01,frontal_002.jpg,person_01,frontal_005.jpg,1,0.72025
person_01,frontal_002.jpg,person_01,frontal_006.jpg,1,0.608144
person_01,frontal_002.jpg,person_01,frontal_007.jpg,1,0.574949
person_01,frontal_002.jpg,person_01,frontal_008.jpg,1,0.504828
person_01,frontal_002.jpg,person_01,frontal_009.jpg,1,0.424723
person_01,frontal_002.jpg,person_01,frontal_010.jpg,1,0.642518
person_01,frontal_003.jpg,person_01,frontal_004.jpg,1,0.447965
person_01,frontal_003.jpg,person_01,frontal_005.jpg,1,0.425698
person_01,frontal_003.jpg,person_01,frontal_006.jpg,1,0.549925
person_01,frontal_003.jpg,person_01,frontal_007.jpg,1,0.583434
person_01,frontal_003.jpg,person_01,frontal_008.jpg,1,0.629511
person_01,frontal_003.jpg,person_01,frontal_009.jpg,1,0.391112
person_01,frontal_003.jpg,person_01,frontal_010.jpg,1,0.428412
person_01,frontal_004.jpg,person_01,frontal_005.jpg,1,0.455376
person_01,frontal_004.jpg,person_01,frontal_006.jpg,1,0.612528
person_01,frontal_004.jpg,person_01,frontal_007.jpg,1,0.528481
person_01,frontal_004.jpg,person_01,frontal_008.jpg,1,0.602841
person_01,frontal_004.jpg,person_01,frontal_009.jpg,1,0.486501
person_01,frontal_004.jpg,person_01,frontal_010.jpg,1,0.492067
person_01,frontal_005.jpg,person_01,frontal_006.jpg,1,0.500072
person_01,frontal_005.jpg,person_01,frontal_007.jpg,1,0.544674
person_01,frontal_005.jpg,person_01,frontal_008.jpg,1,0.583753
person_01,frontal_005.jpg,person_01,frontal_009.jpg,1,0.4557
person_01,frontal_005.jpg,person_01,frontal_010.jpg,1,0.740306
person_01,frontal_006.jpg,person_01,frontal_007.jpg,1,0.613445
person_01,frontal_006.jpg,person_01,frontal_008.jpg,1,0.574141
person_01,frontal_006.jpg,person_01,frontal_009.jpg,1,0.45159
person_01,frontal_006.jpg,person_01,frontal_010.jpg,1,0.57395
person_01,frontal_007.jpg,person_01,frontal_008.jpg,1,0.679479
person_01,frontal_007.jpg,person_01,frontal_009.jpg,1,0.773405
person_01,frontal_007.jpg,person_01,frontal_010.jpg,1,0.458021
person_01,frontal_008.jpg,person_01,frontal_009.jpg,1,0.558418
person_01,frontal_008.jpg,person_01,frontal_010.jpg,1,0.575172
person_01,frontal_009.jpg,person_01,frontal_010.jpg,1,0.349558
person_02,frontal_001.jpg,person_02,frontal_002.jpg,1,0.730937
person_02,frontal_001.jpg,person_02,frontal_003.jpg,1,0.76515
person_02,frontal_001.jpg,person_02,frontal_004.jpg,1,0.846367
person_02,frontal_001.jpg,person_02,frontal_005.jpg,1,0.797815
person_02,frontal_001.jpg,person_02,frontal_006.jpg,1,0.723718
person_02,frontal_001.jpg,person_02,frontal_007.jpg,1,0.61322
person_02,frontal_001.jpg,person_02,frontal_008.jpg,1,0.769702
person_02,frontal_001.jpg,person_02,frontal_009.jpg,1,0.68826
person_02,frontal_001.jpg,person_02,frontal_010.jpg,1,0.731595
person_02,frontal_002.jpg,person_02,frontal_003.jpg,1,0.741473
person_02,frontal_002.jpg,person_02,frontal_004.jpg,1,0.808809
person_02,frontal_002.jpg,person_02,frontal_005.jpg,1,0.688387
person_02,frontal_002.jpg,person_02,frontal_006.jpg,1,0.800218
person_02,frontal_002.jpg,person_02,frontal_007.jpg,1,0.416409
person_02,frontal_002.jpg,person_02,frontal_008.jpg,1,0.680369
person_02,frontal_002.jpg,person_02,frontal_009.jpg,1,0.686057
person_02,frontal_002.jpg,person_02,frontal_010.jpg,1,0.64395
person_02,frontal_003.jpg,person_02,frontal_004.jpg,1,0.772986
person_02,frontal_003.jpg,person_02,frontal_005.jpg,1,0.641778
person_02,frontal_003.jpg,person_02,frontal_006.jpg,1,0.673485
person_02,frontal_003.jpg,person_02,frontal_007.jpg,1,0.594808
person_02,frontal_003.jpg,person_02,frontal_008.jpg,1,0.792142
person_02,frontal_003.jpg,person_02,frontal_009.jpg,1,0.573956
person_02,frontal_003.jpg,person_02,frontal_010.jpg,1,0.77248
person_02,frontal_004.jpg,person_02,frontal_005.jpg,1,0.773065
person_02,frontal_004.jpg,person_02,frontal_006.jpg,1,0.810533
person_02,frontal_004.jpg,person_02,frontal_007.jpg,1,0.6023
person_02,frontal_004.jpg,person_02,frontal_008.jpg,1,0.794308
person_02,frontal_004.jpg,person_02,frontal_009.jpg,1,0.684223
person_02,frontal_004.jpg,person_02,frontal_010.jpg,1,0.764463
person_02,frontal_005.jpg,person_02,frontal_006.jpg,1,0.673447
person_02,frontal_005.jpg,person_02,frontal_007.jpg,1,0.415915
person_02,frontal_005.jpg,person_02,frontal_008.jpg,1,0.642534
person_02,frontal_005.jpg,person_02,frontal_009.jpg,1,0.744832
person_02,frontal_005.jpg,person_02,frontal_010.jpg,1,0.560901
person_02,frontal_006.jpg,person_02,frontal_007.jpg,1,0.485432
person_02,frontal_006.jpg,person_02,frontal_008.jpg,1,0.73528
person_02,frontal_006.jpg,person_02,frontal_009.jpg,1,0.825839
person_02,frontal_006.jpg,person_02,frontal_010.jpg,1,0.710497
person_02,frontal_007.jpg,person_02,frontal_008.jpg,1,0.786997
